 YYYY   MM   DD   HH        RAINTOT              H        QoutBsn          HDam1         Dam1in        Dam1out          HDam2         Dam2in        Dam2out
 2013    6   11    8          0.000          0.053          22.333  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   11    9          0.000          0.051          21.787  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   11   10          0.000          0.050          21.262  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   11   11          0.000          0.049          20.779  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   11   12          0.000          0.048          20.340  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   11   13          0.000          0.047          19.943  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   11   14          0.000          0.046          19.568  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   11   15          0.000          0.045          19.198  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   11   16          0.000          0.045          19.014  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   11   17          0.000          0.044          18.719  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   11   18          0.000          0.043          18.421  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   11   19          0.000          0.043          18.106  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   11   20          0.000          0.042          17.782  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   11   21          0.000          0.041          17.485  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   11   22          0.000          0.041          17.200  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   11   23          0.000          0.040          16.940  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   12   24          0.000          0.041          17.188  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   12    1          0.000          0.040          17.062  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   12    2          0.000          0.040          16.808  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   12    3          0.000          0.039          16.581  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   12    4          0.000          0.039          16.330  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   12    5          0.000          0.038          16.085  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   12    6          0.000          0.037          15.881  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   12    7          0.000          0.037          15.729  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   12    8          0.000          0.037          15.735  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   12    9          0.000          0.037          15.586  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
 2013    6   12   10          0.000          0.037          15.595  -107374176.000           0.000           0.000  -107374176.000           0.000           0.000
