  X  Y  Depth
    1  104  -9999.000
    2  104  -9999.000
    3  104  -9999.000
    4  104  -9999.000
    5  104  -9999.000
    6  104  -9999.000
    7  104  -9999.000
    8  104  -9999.000
    9  104  -9999.000
   10  104  -9999.000
   11  104  -9999.000
   12  104  -9999.000
   13  104  -9999.000
   14  104  -9999.000
   15  104  -9999.000
   16  104  -9999.000
   17  104  -9999.000
   18  104  -9999.000
   19  104  -9999.000
   20  104  -9999.000
   21  104  -9999.000
   22  104  -9999.000
   23  104  -9999.000
   24  104  -9999.000
   25  104  -9999.000
   26  104  -9999.000
   27  104  -9999.000
   28  104  -9999.000
   29  104  -9999.000
   30  104  -9999.000
   31  104  -9999.000
   32  104  -9999.000
   33  104  -9999.000
   34  104  -9999.000
   35  104  -9999.000
   36  104  -9999.000
   37  104  -9999.000
   38  104  -9999.000
   39  104  -9999.000
   40  104  -9999.000
   41  104  -9999.000
   42  104  -9999.000
   43  104  -9999.000
   44  104  -9999.000
   45  104  -9999.000
   46  104  -9999.000
   47  104  -9999.000
   48  104  -9999.000
   49  104  -9999.000
   50  104  -9999.000
   51  104  -9999.000
   52  104  -9999.000
   53  104  -9999.000
   54  104  -9999.000
   55  104  -9999.000
   56  104  -9999.000
   57  104  -9999.000
   58  104  -9999.000
   59  104  -9999.000
   60  104  -9999.000
   61  104  -9999.000
   62  104  -9999.000
   63  104  -9999.000
   64  104  -9999.000
   65  104  -9999.000
   66  104  -9999.000
   67  104  -9999.000
   68  104  -9999.000
   69  104  -9999.000
   70  104  -9999.000
   71  104  -9999.000
   72  104  -9999.000
   73  104  -9999.000
   74  104  -9999.000
   75  104  -9999.000
   76  104  -9999.000
   77  104  -9999.000
   78  104  -9999.000
   79  104  -9999.000
   80  104  -9999.000
   81  104  -9999.000
   82  104  -9999.000
   83  104  -9999.000
   84  104  -9999.000
   85  104  -9999.000
   86  104  -9999.000
   87  104  -9999.000
   88  104  -9999.000
   89  104  -9999.000
   90  104  -9999.000
   91  104  -9999.000
   92  104  -9999.000
   93  104  -9999.000
   94  104  -9999.000
   95  104  -9999.000
   96  104  -9999.000
   97  104  -9999.000
   98  104  -9999.000
   99  104  -9999.000
  100  104  -9999.000
  101  104  -9999.000
  102  104  -9999.000
  103  104  -9999.000
  104  104  -9999.000
  105  104  -9999.000
  106  104  -9999.000
  107  104  -9999.000
  108  104  -9999.000
  109  104  -9999.000
  110  104  -9999.000
  111  104  -9999.000
  112  104  -9999.000
  113  104  -9999.000
  114  104  -9999.000
  115  104  -9999.000
    1  103  -9999.000
    2  103  -9999.000
    3  103  -9999.000
    4  103  -9999.000
    5  103  -9999.000
    6  103  -9999.000
    7  103  -9999.000
    8  103  -9999.000
    9  103  -9999.000
   10  103  -9999.000
   11  103  -9999.000
   12  103  -9999.000
   13  103  -9999.000
   14  103  -9999.000
   15  103  -9999.000
   16  103  -9999.000
   17  103  -9999.000
   18  103  -9999.000
   19  103  -9999.000
   20  103  -9999.000
   21  103  -9999.000
   22  103  -9999.000
   23  103  -9999.000
   24  103  -9999.000
   25  103  -9999.000
   26  103  -9999.000
   27  103  -9999.000
   28  103  -9999.000
   29  103  -9999.000
   30  103  -9999.000
   31  103  -9999.000
   32  103  -9999.000
   33  103  -9999.000
   34  103  -9999.000
   35  103  -9999.000
   36  103  -9999.000
   37  103  -9999.000
   38  103  -9999.000
   39  103  -9999.000
   40  103  -9999.000
   41  103  -9999.000
   42  103  -9999.000
   43  103  -9999.000
   44  103  -9999.000
   45  103  -9999.000
   46  103  -9999.000
   47  103  -9999.000
   48  103  -9999.000
   49  103  -9999.000
   50  103  -9999.000
   51  103  -9999.000
   52  103  -9999.000
   53  103  -9999.000
   54  103  -9999.000
   55  103  -9999.000
   56  103  -9999.000
   57  103  -9999.000
   58  103  -9999.000
   59  103  -9999.000
   60  103  -9999.000
   61  103  -9999.000
   62  103  -9999.000
   63  103  -9999.000
   64  103  -9999.000
   65  103  -9999.000
   66  103  -9999.000
   67  103  -9999.000
   68  103  -9999.000
   69  103  -9999.000
   70  103  -9999.000
   71  103  -9999.000
   72  103  -9999.000
   73  103  -9999.000
   74  103  -9999.000
   75  103  -9999.000
   76  103  -9999.000
   77  103  -9999.000
   78  103  -9999.000
   79  103  -9999.000
   80  103  -9999.000
   81  103  -9999.000
   82  103  -9999.000
   83  103  -9999.000
   84  103  -9999.000
   85  103  -9999.000
   86  103  -9999.000
   87  103  -9999.000
   88  103  -9999.000
   89  103  -9999.000
   90  103  -9999.000
   91  103  -9999.000
   92  103  -9999.000
   93  103  -9999.000
   94  103  -9999.000
   95  103  -9999.000
   96  103  -9999.000
   97  103  -9999.000
   98  103  -9999.000
   99  103  -9999.000
  100  103  -9999.000
  101  103  -9999.000
  102  103  -9999.000
  103  103  -9999.000
  104  103  -9999.000
  105  103  -9999.000
  106  103  -9999.000
  107  103  -9999.000
  108  103  -9999.000
  109  103  -9999.000
