134
1	8.50	8.50
2	9.00	9.00
3	9.10	9.10
4	9.20	9.20
5	9.30	9.30
6	9.40	9.40
7	9.50	9.50
8	9.60	9.60
9	9.70	9.70
10	9.80	9.80
11	9.90	9.90
12	10.00	10.00
13	10.20	10.20
14	13.20	13.20
15	16.10	16.10
16	19.10	19.10
17	22.00	22.00
18	24.90	24.90
19	27.80	27.80
20	30.70	30.70
21	33.60	33.60
22	36.50	36.50
23	39.70	39.70
24	86.40	86.40
25	117.00	117.00
26	107.00	107.00
27	105.90	105.90
28	103.60	103.60
29	102.50	102.50
30	100.30	100.30
31	97.10	97.10
32	94.10	94.10
33	90.80	90.80
34	86.80	86.80
35	82.50	82.50
36	77.50	77.50
37	72.20	72.20
38	66.30	66.30
39	65.80	65.80
40	64.40	64.40
41	63.00	63.00
42	61.40	61.40
43	59.60	59.60
44	58.20	58.20
45	56.60	56.60
46	54.20	54.20
47	52.80	52.80
48	51.60	51.60
49	50.90	50.90
50	50.50	50.50
51	50.10	50.10
52	49.70	49.70
53	49.30	49.30
54	48.90	48.90
55	48.50	48.50
56	48.10	48.10
57	47.70	47.70
58	47.30	47.30
59	47.10	47.10
60	46.90	46.90
61	46.80	46.80
62	46.50	46.50
63	46.10	46.10
64	45.70	45.70
65	45.30	45.30
66	44.90	44.90
67	44.50	44.50
68	44.10	44.10
69	43.80	43.80
70	43.40	43.40
71	43.00	43.00
72	42.50	42.50
73	41.60	41.60
74	39.50	39.50
75	37.50	37.50
76	35.40	35.40
77	33.40	33.40
78	31.40	31.40
79	29.20	29.20
80	27.00	27.00
81	25.10	25.10
82	22.90	22.90
83	20.50	20.50
84	18.40	18.40
85	16.90	16.90
86	16.90	16.90
87	16.90	16.90
88	16.90	16.90
89	16.90	16.90
90	16.90	16.90
91	16.90	16.90
92	16.90	16.90
93	16.90	16.90
94	16.90	16.90
95	16.90	16.90
96	16.90	16.90
97	16.90	16.90
98	16.90	16.90
99	16.90	16.90
100	16.90	16.90
101	16.90	16.90
102	16.40	16.40
103	16.20	16.20
104	15.80	15.80
105	15.40	15.40
106	15.20	15.20
107	14.90	14.90
108	14.60	14.60
109	14.40	14.40
110	14.40	14.40
111	14.40	14.40
112	14.40	14.40
113	14.40	14.40
114	14.40	14.40
115	14.40	14.40
116	14.40	14.40
117	14.40	14.40
118	14.40	14.40
119	14.40	14.40
120	14.40	14.40
121	14.40	14.40
122	14.20	14.20
123	13.80	13.80
124	13.40	13.40
125	13.20	13.20
126	12.80	12.80
127	12.50	12.50
128	12.30	12.30
129	11.80	11.80
130	11.50	11.50
131	11.20	11.20
132	10.50	10.50
133	10.20	10.20
134	10.20	10.20
